,name,worth_amount_(BUSD),country,company_sector,company_name,age,gender
974,Du Jiangtao,2.5,,Manufacturing,chemicals,48.0,M
975,Aloysio De Andrade Faria,2.5,,Finance and Investments,banking,97.0,M
976,Kenneth Feld,2.5,United States,Media & Entertainment,"circus, live entertainment",69.0,
977,Luca Garavoglia,2.5,,Food and Beverage,spirits,49.0,M
978,Noam Gottesman,2.5,United States,Finance and Investments,hedge funds,57.0,M
979,Jonathan Gray,2.5,United States,Finance and Investments,investments,48.0,M
980,Stein Erik Hagen,2.5,,Fashion & Retail,consumer goods,61.0,M
981,Chang-Woo Han,2.5,,Gambling & Casinos,pachinko parlors,87.0,M
982,John Henry,2.5,United States,Sports,sports,68.0,M
983,Lawrence Ho,2.5,,Gambling & Casinos,casinos,41.0,M
984,Hui Lin Chit,2.5,,Manufacturing,hygiene products,65.0,
985,Mustafa Rahmi Koc,2.5,,Diversified,diversified,87.0,M
986,Kuan Kam Hon,2.5,Malaysia,Manufacturing,synthetic gloves,70.0,
987,Jane Lauder,2.5,,Fashion & Retail,cosmetics,45.0,F
988,Aerin Lauder Zinterhofer,2.5,,Fashion & Retail,cosmetics,48.0,F
989,Maritsa Lazari,2.5,United Kingdom,Real Estate,real estate,73.0,F
990,Bernard Lewis,2.5,United Kingdom,Fashion & Retail,fashion retailer,92.0,M
991,Vincent Lo,2.5,Hong Kong,Real Estate,real estate,69.0,M
992,Jeffrey Lorberbaum,2.5,United States,Manufacturing,flooring,63.0,M
993,Joe Mansueto,2.5,United States,Finance and Investments,investment research,61.0,M
994,Jose Roberto Marinho,2.5,,Media & Entertainment,media,62.0,M
995,Roberto Irineu Marinho,2.5,,Media & Entertainment,media,70.0,M
996,C. Dean Metropoulos,2.5,,Food and Beverage,investments,72.0,M
997,Aristotelis Mistakidis,2.5,,Metals & Mining,"mining, commodities",56.0,M
998,Arturo Moreno,2.5,United States,Sports,"billboards, Anaheim Angels",71.0,M
999,Yoshiko Mori,2.5,Japan,Real Estate,real estate,77.0,F
1000,Adam Neumann,2.5,,Real Estate,WeWork,39.0,M
1001,Or Wai Sheun,2.5,,Real Estate,real estate,67.0,
1002,Richard Peery,2.5,,Real Estate,real estate,79.0,M
1003,Horst Julius Pudwill,2.5,,Manufacturing,manufacturing,73.0,
1004,P.V. Ramprasad Reddy,2.5,,Healthcare,pharmaceuticals,60.0,M
1005,Larry Robbins,2.5,United States,Finance and Investments,hedge funds,48.0,M
1006,Carlos Sanchez,2.5,,Healthcare,generic drugs,56.0,M
1007,Stephan Schmidheiny,2.5,Switzerland,Finance and Investments,investments,70.0,
1008,Klaus-Peter Schulenberg,2.5,,Service,ticketing service,,M
1009,Charles Simonyi,2.5,,Technology,Microsoft,69.0,M
1010,Mark Stevens,2.5,,Finance and Investments,venture capital,58.0,M
1011,Sze Man Bok,2.5,,Manufacturing,hygiene products,68.0,M
1012,Sarik Tara,2.5,Turkey,Construction & Engineering,construction,88.0,
1013,Lottie Tham,2.5,Sweden,Fashion & Retail,H&M,69.0,F
1014,Peter Thiel,2.5,United States,Finance and Investments,"Facebook, Palantir",50.0,
1015,Elaine Wynn,2.5,,Gambling & Casinos,"casinos, hotels",76.0,F
1016,Denise York,2.5,,Sports,San Francisco 49ers,67.0,
1017,David Zalik,2.5,United States,Technology,technology,44.0,M
1018,Zhao Tao,2.5,,Healthcare,pharmaceuticals,52.0,M
1019,George Argyros,2.4,United States,Real Estate,"real estate, investments",81.0,
1020,John Arrillaga,2.4,,Real Estate,real estate,81.0,M
1021,Charles Bronfman,2.4,Canada,Food and Beverage,liquor,86.0,M
1022,Peter Buck,2.4,United States,Food and Beverage,Subway sandwich shops,87.0,M
1023,Chen Jinxia,2.4,,Finance and Investments,investments,50.0,F
1024,Vivien Chen,2.4,,Real Estate,real estate,59.0,
1025,Chu Lam Yiu,2.4,Hong Kong,Manufacturing,flavorings,48.0,F
1026,Jean Coutu,2.4,,Fashion & Retail,drugstores,91.0,M
1027,Jose Luis Cutrale,2.4,,Food and Beverage,orange juice,71.0,M
1028,Jai Hari & Yadu Hari Dalmia,2.4,,Manufacturing,cement,,M
1029,Bergit Douglas,2.4,Germany,Food and Beverage,consumer goods,71.0,F
1030,Alfredo Egydio Arruda Villela Filho,2.4,,Finance and Investments,banking,48.0,M
1031,Marcel Erni,2.4,,Finance and Investments,private equity,53.0,
1032,Andre Esteves,2.4,Brazil,Finance and Investments,banking,49.0,
1033,Carlo Fidani,2.4,Canada,Real Estate,real estate,63.0,M
1034,Abhay Firodia,2.4,,Automotive,automobiles,73.0,
1035,Alfred Gantner,2.4,,Finance and Investments,private equity,50.0,
1036,Geng Jianming,2.4,,Real Estate,real estate,55.0,M
1037,Mitchell Goldhar,2.4,Canada,Real Estate,real estate,56.0,M
1038,Hortensia Herrero,2.4,Spain,Fashion & Retail,supermarkets,68.0,
1039,Michael Hintze,2.4,,Finance and Investments,investment,64.0,M
1040,Igor Kesaev,2.4,Russia,Fashion & Retail,"tobacco distribution, retail",51.0,M
1041,Koon Poh Keong,2.4,Malaysia,Manufacturing,aluminum,57.0,
1042,Hermann Langness,2.4,,Food and Beverage,retail,65.0,M
1043,Li Zhongchu,2.4,,Technology,software,54.0,M
1044,Alexander Mamut,2.4,Russia,Finance and Investments,investments,58.0,M
1045,Joao Roberto Marinho,2.4,,Media & Entertainment,media,64.0,M
1046,"Drayton Mclane, Jr.",2.4,United States,Fashion & Retail,"Wal-Mart, logistics",81.0,M
1047,Patrice Motsepe,2.4,South Africa,Metals & Mining,mining,56.0,M
1048,Alfred Oetker,2.4,,Fashion & Retail,consumer goods,51.0,M
1049,August Oetker,2.4,,Fashion & Retail,consumer goods,74.0,M
1050,Carl Ferdinand Oetker,2.4,,Fashion & Retail,consumer goods,45.0,M
1051,Christian Oetker,2.4,,Fashion & Retail,consumer goods,70.0,M
1052,Julia Oetker,2.4,,Fashion & Retail,consumer goods,39.0,F
1053,Richard Oetker,2.4,Germany,Fashion & Retail,consumer goods,67.0,M
1054,Daniel Pritzker,2.4,,Service,"hotels, investments",58.0,M
1055,John Pritzker,2.4,,Finance and Investments,"hotels, investments",65.0,M
1056,Nevaldo Rocha,2.4,,Fashion & Retail,retail,88.0,
1057,Luigi Rovati,2.4,Italy,Healthcare,pharmaceuticals,89.0,
1058,Ferit Faik Sahenk,2.4,,Diversified,diversified,54.0,M
1059,Rosely Schweizer,2.4,,Fashion & Retail,consumer goods,77.0,F
1060,Eric Smidt,2.4,,Fashion & Retail,hardware stores,58.0,M
1061,Alexander Spanos,2.4,,Sports,"real estate, Los Angeles Chargers",94.0,
1062,Leena Tewari,2.4,,Healthcare,pharmaceuticals,60.0,
1063,Tong Jinquan,2.4,,Real Estate,real estate,63.0,M
1064,Peter Unger,2.4,,Automotive,auto repair,73.0,M
1065,Sunny Varkey,2.4,,Service,education,61.0,M
1066,Urs Wietlisbach,2.4,Switzerland,Finance and Investments,private equity,56.0,M
1067,Michael Ying,2.4,,Fashion & Retail,retail,68.0,
1068,Yu Minhong,2.4,China,Service,education,56.0,M
1069,Eva Maria Bucher-Haefner,2.3,,Technology,Computer Associates,61.0,
1070,Chen Hua,2.3,China,Real Estate,real estate,52.0,M
1071,Gustavo Denegri,2.3,,Healthcare,biotech,82.0,M
1072,Dermot Desmond,2.3,Ireland,Finance and Investments,finance,67.0,M
1073,Murali Divi,2.3,India,Healthcare,pharmaceuticals,67.0,M
1074,Thomas Flohr,2.3,,Logistics,VistaJet,48.0,M
1075,Bernard Fraisse,2.3,France,Healthcare,pharmaceuticals,61.0,M
1076,Harsh Goenka,2.3,,Diversified,diversified,60.0,M
1077,David Gottesman,2.3,United States,Finance and Investments,investments,92.0,M
1078,Murli Dhar & Bimal Kumar Gyanchandani,2.3,India,Manufacturing,Detergents,,
1079,Bill Haslam,2.3,United States,Fashion & Retail,truck stops,59.0,M
1080,Hu Baifan,2.3,,Healthcare,pharmaceuticals,55.0,
1081,W. Herbert Hunt,2.3,,Energy,oil,89.0,M
1082,Alijan Ibragimov,2.3,Kazakhstan,Metals & Mining,"mining, metals",64.0,M
1083,Bradley Jacobs,2.3,United States,Logistics,logistics,61.0,M
1084,Brad Kelley,2.3,United States,Real Estate,tobacco,61.0,
1085,Vinod Khosla,2.3,United States,Technology,venture capital,63.0,M
1086,Stephen Lansdown,2.3,,Finance and Investments,financial services,65.0,
1087,Martin Lau,2.3,,Technology,e-commerce,45.0,M
1088,Lee Joong-Keun,2.3,,Construction & Engineering,"construction, real estate",77.0,M
1089,Lin Li,2.3,China,Finance and Investments,investments,55.0,M
1090,Kenneth Lo,2.3,,Finance and Investments,textiles,79.0,
1091,Alexander Machkevich,2.3,Israel,Metals & Mining,"mining, metals",64.0,M
1092,Clayton Mathile,2.3,,Food and Beverage,pet food,77.0,M
1093,Stanley Perron,2.3,,Real Estate,"real estate, retail",95.0,
1094,J. Joe Ricketts,2.3,,Finance and Investments,TD Ameritrade,76.0,M
1095,Dirk Rossmann,2.3,Germany,Fashion & Retail,drugstores,71.0,M
1096,Filiz Sahenk,2.3,,Diversified,diversified,51.0,
1097,Dan Snyder,2.3,United States,Sports,Washington Redskins,53.0,M
1098,Peter Spuhler,2.3,,Manufacturing,train cars,58.0,M
1099,Tang Yiu,2.3,Hong Kong,Fashion & Retail,fashion retail,84.0,M
1100,John Tyson,2.3,,Food and Beverage,food processing,64.0,
1101,Wong Man Li,2.3,,Manufacturing,furniture,53.0,M
1102,Lia Maria Aguiar,2.2,,Finance and Investments,banking,80.0,
1103,Aziz Akhannouch,2.2,Morocco,Diversified,"petroleum, diversified",57.0,M
1104,Ron Baron,2.2,,Finance and Investments,money management,75.0,M
1105,Shyam & Hari Bhartia,2.2,,Diversified,Diversified,65.0,
1106,Timothy Boyle,2.2,United States,Fashion & Retail,Columbia Sportswear,68.0,
1107,Tatiana Casiraghi,2.2,Monaco,Food and Beverage,beer,33.0,F
1108,Chan Tan Ching-Fen,2.2,Hong Kong,Real Estate,real estate,,F
1109,"Chase Coleman, Iii.",2.2,United States,Finance and Investments,hedge fund,43.0,
1110,Mark Coombs,2.2,United Kingdom,Finance and Investments,finance,57.0,
1111,James Coulter,2.2,United States,Finance and Investments,private equity,58.0,M
1112,Dulce Pugliese De Godoy Bueno,2.2,Brazil,Healthcare,"hospitals, health care",70.0,F
