,name,worth_amount_(BUSD),country,company_sector,company_name,age,gender
1240,Ramesh Juneja,2.0,,Healthcare,pharmaceuticals,62.0,M
1241,Bruce Karsh,2.0,,Finance and Investments,private equity,62.0,
1242,Henry Laufer,2.0,United States,Finance and Investments,hedge funds,72.0,
1243,Lee Boo-Jin,2.0,,Service,"computer services, tourism",47.0,F
1244,Lee Jay-Hyun,2.0,,Diversified,"food products, entertainment",58.0,
1245,Wolfgang Leitner,2.0,,Construction & Engineering,engineering,65.0,M
1246,Li Ge,2.0,China,Healthcare,biotech,51.0,M
1247,Harald Link,2.0,,Diversified,diversified,63.0,M
1248,Liu Ming Hui,2.0,China,Energy,natural gas distribution,55.0,M
1249,Jeffrey Lurie,2.0,United States,Sports,Philadelphia Eagles,66.0,M
1250,Ma Xingtian,2.0,,Healthcare,pharmaceuticals,48.0,M
1251,Sarah Macmillan,2.0,United States,Food and Beverage,Cargill,64.0,F
1252,Howard Marks,2.0,,Finance and Investments,private equity,72.0,M
1253,Miao Shouliang,2.0,,Real Estate,real estate,63.0,M
1254,Lachhman Das Mittal,2.0,,Automotive,tractors,87.0,M
1255,Mario Moretti Polegato,2.0,,Fashion & Retail,shoes,65.0,M
1256,Vadim Moshkovich,2.0,,Food and Beverage,"agriculture, land",51.0,M
1257,Mofatraj Munot,2.0,,Real Estate,real estate,73.0,M
1258,Jonathan Nelson,2.0,United States,Finance and Investments,private equity,62.0,
1259,Florentino Perez,2.0,,Construction & Engineering,construction,71.0,M
1260,Chuchat & Daonapa Petaumpai,2.0,,Finance and Investments,motorcycle loans,65.0,
1261,Peter Peterson,2.0,,Finance and Investments,investments,92.0,
1262,Arvind Poddar,2.0,,Automotive,tires,60.0,M
1263,Murdaya Poo,2.0,,Diversified,diversified,77.0,
1264,Ren Zhengfei,2.0,,Telecom,telecom equipment,74.0,M
1265,Antony Ressler,2.0,United States,Finance and Investments,finance,56.0,M
1266,Francisco Jose Riberas Mera,2.0,Spain,Manufacturing,"steel, autoparts",54.0,M
1267,Rodney Sacks,2.0,United States,Food and Beverage,energy drinks,68.0,M
1268,Hilton Schlosberg,2.0,,Food and Beverage,energy drinks,65.0,
1269,Brian Sheth,2.0,United States,Finance and Investments,investments,42.0,M
1270,Lucy Stitzer,2.0,,Food and Beverage,Cargill,58.0,
1271,Su Suyu,2.0,China,Real Estate,"utilities, real estate",69.0,F
1272,Satoshi Suzuki,2.0,,Fashion & Retail,cosmetics,64.0,M
1273,Katherine Tanner,2.0,United States,Food and Beverage,Cargill,62.0,F
1274,Arvind Tiku,2.0,India,Energy,"oil & gas, investments",48.0,M
1275,Wang Liping,2.0,,Manufacturing,hydraulic machinery,52.0,
1276,Wang Xicheng,2.0,,Manufacturing,tires,69.0,M
1277,Wei Shaojun,2.0,China,Real Estate,real estate,55.0,M
1278,Amy Wyss,2.0,United States,Healthcare,medical equipment,47.0,
1279,Jon Yarbrough,2.0,,Gambling & Casinos,video games,61.0,M
1280,Vladimir Yevtushenkov,2.0,,Telecom,"telecom, investments",69.0,M
1281,Charles Zegar,2.0,,Media & Entertainment,Bloomberg LP,70.0,M
1282,Zhu Baoguo,2.0,,Healthcare,pharmaceuticals,56.0,M
1283,Saif Al Ghurair,1.9,,Diversified,diversified,94.0,M
1284,Syed Mokhtar Albukhary,1.9,,Diversified,"engineering, energy, construction",66.0,
1285,Miriam Baumann-Blocher,1.9,,Manufacturing,chemicals,43.0,F
1286,Albert Berner,1.9,,Manufacturing,fasteners,82.0,M
1287,Thomas Bruch,1.9,,Fashion & Retail,retail,68.0,
1288,Chang Yun Chung,1.9,,Logistics,shipping,99.0,M
1289,Kiat Chiaravanont,1.9,,Diversified,diversified,,
1290,Jean-Paul And Martine Clozel,1.9,Switzerland,Healthcare,pharmaceuticals,,
1291,Benjamin De Rothschild,1.9,Switzerland,Finance and Investments,banking,54.0,M
1292,James Dinan,1.9,,Finance and Investments,hedge funds,59.0,M
1293,Charles Edelstenne,1.9,,Manufacturing,aviation,80.0,M
1294,Bernd Freier,1.9,,Fashion & Retail,fashion retail,61.0,
1295,Bill Gross,1.9,,Finance and Investments,investments,74.0,M
1296,Jeffrey Gundlach,1.9,,Finance and Investments,investments,59.0,M
1297,Suat Gunsel,1.9,Cyprus,Real Estate,"real estate, education",65.0,M
1298,Shmuel Harlap,1.9,Israel,Automotive,automotive,73.0,
1299,Roberto Hernandez Ramirez,1.9,,Finance and Investments,banking,76.0,M
1300,Johannes Kaercher,1.9,Germany,Manufacturing,"vacuums, cleaning products",67.0,M
1301,Friedrich Knapp,1.9,,Fashion & Retail,fashion retail,67.0,M
1302,Lee Myung-Hee,1.9,,Fashion & Retail,retail,74.0,F
1303,Lee Seo-Hyun,1.9,,Diversified,"computer services, tourism",44.0,F
1304,Liang Jiankun,1.9,,Metals & Mining,cobalt mining,56.0,
1305,Liao Long-Shing,1.9,,Manufacturing,petrochemicals,65.0,M
1306,Lin Shu-Hong,1.9,,Manufacturing,petrochemicals,89.0,M
1307,Yasseen Mansour,1.9,Egypt,Diversified,diversified,56.0,M
1308,David Nahmad,1.9,,Fashion & Retail,art collection,71.0,M
1309,Alexander Nesis,1.9,,Finance and Investments,"metals, banking, fertilizers",55.0,M
1310,Nandan Nilekani,1.9,India,Technology,software services,63.0,M
1311,Ranjan Pai,1.9,India,Service,education,45.0,M
1312,Park Hyeon-Joo,1.9,,Finance and Investments,mutual funds,59.0,M
1313,Jennifer Pritzker,1.9,,Service,"hotels, investments",67.0,
1314,Qiu Jianping,1.9,China,Manufacturing,hand tools,56.0,M
1315,Megdet Rahimkulov,1.9,Russia,Finance and Investments,investments,72.0,M
1316,Vito Rodriguez Rodriguez,1.9,Peru,Diversified,processed milk,79.0,M
1317,Stephen Rubin,1.9,,Fashion & Retail,sports apparel,81.0,M
1318,Remo Ruffini,1.9,,Fashion & Retail,winter jackets,56.0,
1319,Erik Selin,1.9,,Real Estate,real estate,51.0,M
1320,Peter Sondakh,1.9,Indonesia,Finance and Investments,investments,68.0,M
1321,Alan N. Trefler,1.9,,Technology,software,62.0,M
1322,Tseng Shin-Yi,1.9,,Manufacturing,petrochemicals,90.0,
1323,Masateru Uno,1.9,Japan,Fashion & Retail,drugstores,71.0,M
1324,Wang Qingtao,1.9,,Metals & Mining,steel smelting,56.0,M
1325,Evan Williams,1.9,United States,Technology,Twitter,46.0,M
1326,Gustav Magnar Witzoe,1.9,Norway,Food and Beverage,fish farming,24.0,M
1327,Horst Wortmann,1.9,,Fashion & Retail,footwear,77.0,M
1328,Xiao Yongming,1.9,China,Diversified,fertilizer,53.0,M
1329,Xie Zhikun,1.9,,Finance and Investments,investments,57.0,
1330,Xue Xiangdong,1.9,,Technology,software,59.0,M
1331,Yuan Yafei,1.9,China,Fashion & Retail,"retail, investments",54.0,M
1332,Robin Zeng,1.9,,Energy,batteries,50.0,M
1333,Zhang Daocai,1.9,,Diversified,valves,68.0,M
1334,Zhang Xuansong,1.9,,Fashion & Retail,supermarket,46.0,M
1335,Zheng Yuewen,1.9,China,Diversified,investments,56.0,
1336,Zhou Xiaoguang,1.9,,Real Estate,real estate,56.0,F
1337,Susanne Zimmermann Von Siefart ,1.9,Germany,Manufacturing,"vacuums, home cleaning products",61.0,
1338,Aras Agalarov,1.8,,Fashion & Retail,real estate,62.0,M
1339,Maurice Alter,1.8,,Real Estate,real estate,93.0,
1340,An Kang,1.8,,Healthcare,pharmaceuticals,69.0,
1341,Alex Beard,1.8,,Metals & Mining,"mining, commodities",50.0,
1342,Nicolas Berggruen,1.8,,Finance and Investments,investments,56.0,M
1343,Vladimir Bogdanov,1.8,,Energy,oil,67.0,
1344,Julio Bozano,1.8,Brazil,Finance and Investments,banking,82.0,
1345,Anna Maria Braun,1.8,,Healthcare,medical technology,39.0,
1346,Johanna Braun,1.8,,Healthcare,medical technology,38.0,
1347,Karl Friedrich Braun,1.8,,Healthcare,medical technology,34.0,M
1348,Anand Burman,1.8,,Food and Beverage,consumer goods,66.0,M
1349,Edouard Carmignac,1.8,France,Finance and Investments,asset management,70.0,M
1350,Chen Jianhua,1.8,China,Manufacturing,chemicals,47.0,M
1351,Cheung Yan,1.8,China,Manufacturing,paper manufacturing,61.0,F
1352,Chung Mong-Joon,1.8,,Manufacturing,"shipbuilding, industrial machines",66.0,M
1353,Jack Cowin,1.8,,Food and Beverage,fast food,75.0,
1354,Cui Genliang,1.8,,Manufacturing,electric components,60.0,M
1355,Kommer Damen,1.8,Netherlands,Manufacturing,shipbuilding,74.0,M
1356,Diego Della Valle,1.8,Italy,Fashion & Retail,shoes,64.0,M
1357,Dou Zhenggang,1.8,,Diversified,"energy, chemicals",65.0,M
1358,N. Murray Edwards,1.8,Canada,Energy,oil & gas,58.0,
1359,Gabriel Escarrer,1.8,,Service,hotels,83.0,M
1360,Clement Fayat,1.8,,Construction & Engineering,construction,86.0,M
1361,James France,1.8,,Sports,"Nascar, racing",73.0,M
1362,Senapathy Gopalakrishnan,1.8,,Technology,software services,63.0,M
1363,David Harding,1.8,,Finance and Investments,finance,56.0,M
1364,Stewart Horejsi,1.8,,Finance and Investments,Berkshire Hathaway,80.0,M
1365,Huang Qisen,1.8,China,Real Estate,real estate,53.0,
1366,Hamilton James,1.8,,Finance and Investments,investments,66.0,M
1367,John Kapoor,1.8,United States,Healthcare,healthcare,74.0,M
1368,William Lauder,1.8,,Fashion & Retail,Estee Lauder,58.0,M
1369,Li Zongsong,1.8,China,Healthcare,pharmaceuticals,51.0,M
1370,Willy Michel,1.8,,Healthcare,medical devices,71.0,
1371,Masahiro Noda,1.8,Japan,Technology,software,79.0,M
1372,Gregorio Perez Companc,1.8,Argentina,Energy,oil & gas,82.0,M
1373,Linda Pritzker,1.8,,Service,"hotels, investments",64.0,
1374,Qin Hui,1.8,,Media & Entertainment,movie theaters,50.0,M
1375,Matthias Reinhart,1.8,,Finance and Investments,finance,58.0,M
1376,Brian Roberts,1.8,,Service,Comcast,58.0,
1377,Alberto Roemmers,1.8,,Healthcare,pharmaceuticals,91.0,M
1378,Gerald Schwartz,1.8,,Finance and Investments,finance,76.0,M
1379,Thaksin Shinawatra,1.8,,Finance and Investments,investments,68.0,M
1380,William Stone,1.8,,Technology,software,63.0,
1381,Petter Stordalen,1.8,,Service,hotels,55.0,M
1382,Julia Stoschek,1.8,,Automotive,auto parts,43.0,F
1383,Maximilian Stoschek,1.8,Germany,Automotive,auto parts,,M
1384,Sun Shoukuan,1.8,China,Manufacturing,metals. coal,68.0,M
1385,Ba Duong Tran,1.8,,Automotive,automotive,58.0,M
1386,Hamdi Ulukaya,1.8,Turkey,Food and Beverage,greek yogurt,45.0,M
1387,Wong Luen Hei,1.8,,Manufacturing,building materials,56.0,M
1388,Wu Yulan,1.8,,Healthcare,pharmaceuticals,48.0,F
1389,Xu Hang,1.8,,Healthcare,medical devices,52.0,M
1390,Yang Erzhu,1.8,China,Real Estate,real estate,67.0,M
1391,Yao Kuizhang,1.8,,Food and Beverage,beverages,53.0,M
1392,Sheng Jian Zhong,1.8,,Real Estate,real estate,60.0,M
1393,Marcel Adams,1.7,,Real Estate,real estate,97.0,M
1394,"Herbert Allen, Jr.",1.7,,Finance and Investments,investment banking,78.0,M
1395,Michael Ashcroft,1.7,United Kingdom,Finance and Investments,security,72.0,M
1396,Roman Avdeev,1.7,,Finance and Investments,"banking, development",50.0,
1397,Emilio Azcarraga Jean,1.7,Mexico,Media & Entertainment,TV broadcasting,50.0,M
1398,Sezai Bacaksiz,1.7,,Diversified,diversified,68.0,M
1399,Lesley Bamberger,1.7,Netherlands,Real Estate,real estate,53.0,M
1400,Angela Bennett,1.7,Australia,Metals & Mining,mining,74.0,
1401,Hubertus Benteler,1.7,,Automotive,auto parts,71.0,
1402,Ludwig Theodor Braun,1.7,Germany,Healthcare,medical technology,27.0,
1403,Nicola Bulgari,1.7,,Fashion & Retail,luxury goods,77.0,M
1404,Paolo Bulgari,1.7,,Fashion & Retail,luxury goods,80.0,M
1405,Chen Dejun,1.7,,Logistics,package delivery,48.0,M
1406,Tony Chen,1.7,,Technology,eletronics,49.0,M
1407,Chen Xueli,1.7,,Healthcare,pharmaceuticals,67.0,M
1408,Luigi Cremonini,1.7,,Food and Beverage,meat processing,79.0,M
1409,Dominique Desseigne,1.7,France,Gambling & Casinos,casinos,73.0,M
1410,Sefik Yilmaz Dizdar,1.7,,Fashion & Retail,fashion retail,80.0,M
1411,Domenico Dolce,1.7,Italy,Fashion & Retail,luxury goods,59.0,M
1412,Pavel Durov,1.7,,Technology,messaging app,32.0,
1413,John Farber,1.7,,Manufacturing,chemicals,92.0,M
1414,Robert Fisher,1.7,,Service,Gap,64.0,M
1415,William Fisher,1.7,,Fashion & Retail,Gap,61.0,
1416,Stefano Gabbana,1.7,Italy,Fashion & Retail,luxury goods,55.0,M
1417,Rolf Gerling,1.7,Germany,Finance and Investments,insurance,63.0,
1418,Serge Godin,1.7,,Technology,information technology,68.0,
1419,Sergei Gordeev,1.7,,Real Estate,real estate,45.0,
1420,Mehmet Nazif Gunal,1.7,,Diversified,"tourism, construction",70.0,M
1421,Yusuf Hamied,1.7,,Healthcare,pharmaceuticals,81.0,
1422,Gerry Harvey,1.7,,Fashion & Retail,retail,78.0,M
1423,Timothy Headington,1.7,United States,Energy,"oil & gas, investments",68.0,M
1424,Huang Chulong,1.7,,Real Estate,real estate,59.0,M
1425,Huo Qinghua,1.7,,Energy,coal,57.0,M
1426,Devendra Jain,1.7,,Manufacturing,chemicals,89.0,M
1427,Jiang Yintai,1.7,,Automotive,auto parts,67.0,
1428,"Jim Justice, Ii.",1.7,United States,Metals & Mining,coal,67.0,
1429,Kim Jun-Ki,1.7,,Diversified,diversified,73.0,
1430,William Koch,1.7,United States,Energy,"oil, investments",78.0,
1431,Anthony Langley,1.7,United Kingdom,Diversified,manufacturing,63.0,M
1432,Marc Lasry,1.7,United States,Finance and Investments,hedge funds,57.0,
1433,Peter Leibinger,1.7,,Manufacturing,machine tools,51.0,M
1434,Regine Leibinger,1.7,,Manufacturing,machine tools,55.0,F
1435,Li San Yim,1.7,China,Manufacturing,construction equipment,68.0,M
1436,David Lichtenstein,1.7,United States,Real Estate,real estate,56.0,M
1437,Lim Oon Kuin,1.7,,Energy,oil trading,74.0,M
1438,Liu Ming Chung,1.7,,Manufacturing,paper manufacturing,55.0,
1439,Ma Xiuhui,1.7,China,Manufacturing,LED lighting,47.0,F
1440,Prayudh Mahagitsiri,1.7,,Food and Beverage,"coffee, shipping",72.0,M
1441,Anand Mahindra,1.7,India,Automotive,automobiles,63.0,M
1442,Kishore Mariwala,1.7,India,Food and Beverage,consumer goods,83.0,
1443,Craig Mccaw,1.7,United States,Telecom,telecom,68.0,M
1444,Miguel Mckelvey,1.7,,Real Estate,WeWork,43.0,M
1445,Vincent Mcmahon,1.7,United States,Sports,wrestling,72.0,M
1446,David Mcmurtry,1.7,,Manufacturing,manufacturing,78.0,M
1447,Gary Michelson,1.7,United States,Healthcare,medical patents,69.0,M
1448,Massimo Moratti,1.7,,Energy,oil refinery,73.0,M
1449,Farhad Moshiri,1.7,United Kingdom,Diversified,diversified,63.0,
1450,Jerry Moyes,1.7,United States,Logistics,Transportation,74.0,M
1451,Charles Munger,1.7,,Finance and Investments,Berkshire Hathaway,94.0,M
1452,Kerr Neilson,1.7,,Finance and Investments,investment,68.0,M
1453,Ou Zongrong,1.7,,Real Estate,real estate,54.0,M
1454,Nihat Ozdemir,1.7,Turkey,Diversified,diversified,68.0,M
1455,Pan Weiming,1.7,,Real Estate,real estate,54.0,M
1456,Park Yeon-Cha,1.7,,Manufacturing,sneakers,72.0,M
1457,Nelson Peltz,1.7,,Finance and Investments,investments,76.0,M
1458,Roger Penske,1.7,United States,Automotive,cars,81.0,M
1459,Qi Jinxing,1.7,China,Real Estate,real estate,56.0,M
1460,Qi Shi,1.7,,Technology,financial information,48.0,M
1461,Theodore Rachmat,1.7,,Diversified,diversified,74.0,M
1462,Juan Maria Riberas Mera,1.7,,Metals & Mining,steel,49.0,M
1463,Vijay Shekhar Sharma,1.7,,Service,financial technology,40.0,M
1464,Konstantin Strukov,1.7,,Metals & Mining,"gold, coal mining",59.0,M
1465,Henry Swieca,1.7,,Finance and Investments,hedge funds,61.0,M
1466,Wichai Thongtang,1.7,,Real Estate,investments,71.0,
1467,Torsten Toeller,1.7,,Fashion & Retail,pet food,52.0,M
1468,Roman Trotsenko,1.7,,Logistics,"transport, engineering, real estate",47.0,M
1469,Todd Wagner,1.7,,Media & Entertainment,online media,57.0,M
1470,Wang Chaobin,1.7,China,Real Estate,real estate,62.0,M
1471,Wang Yanqing,1.7,,Manufacturing,electrical equipment,52.0,
1472,John Whittaker,1.7,,Real Estate,real estate,76.0,M
1473,Wu Guangming,1.7,China,Healthcare,medical equipment,56.0,
1474,Xu Qiming,1.7,,Diversified,"food, art",54.0,M
1475,Zhang Xiaojuan,1.7,China,Logistics,logistics,48.0,F
1476,Melih Abdulhayoglu,1.6,,Technology,internet security,50.0,M
1477,Radhe Shyam Agarwal,1.6,India,Fashion & Retail,consumer goods,73.0,M
1478,Mohamed Al Fayed,1.6,,Fashion & Retail,"retail, investments",89.0,M
1479,Faisal Bin Qassim Al Thani,1.6,,Diversified,"hotels, diversified",70.0,M
1480,William F. Austin,1.6,,Manufacturing,hearing aids,76.0,M
1481,Louis Bacon,1.6,,Finance and Investments,hedge funds,61.0,M
1482,Achal Bakeri,1.6,India,Manufacturing,air coolers,58.0,M
1483,Othman Benjelloun,1.6,Morocco,Finance and Investments,"banking, insurance",85.0,M
1484,William Berkley,1.6,United States,Finance and Investments,insurance,71.0,M
1485,Aneel Bhusri,1.6,,Technology,business software,52.0,M
1486,O. Francis Biondi,1.6,United States,Finance and Investments,hedge funds,53.0,M
1487,John Bloor,1.6,,Diversified,"real estate, manufacturing",75.0,M
1488,David Booth,1.6,United States,Finance and Investments,mutual funds,72.0,M
1489,Cai Wensheng,1.6,,Technology,photo sharing app,48.0,
1490,Ahmet Calik,1.6,Turkey,Diversified,"energy, banking, construction",60.0,M
1491,Michel Chalhoub,1.6,,Fashion & Retail,retail,86.0,
1492,Chen Xiaoying,1.6,,Logistics,package delivery,41.0,
1493,Cho Jung-Ho,1.6,South Korea,Finance and Investments,finance,59.0,
1494,Turgay Ciner,1.6,Turkey,Diversified,diversified,62.0,M
1495,Steve Conine,1.6,,Technology,online retail,45.0,M
1496,Jacques D'Amours,1.6,,Fashion & Retail,retail,61.0,M
1497,Robert Defares,1.6,,Finance and Investments,electronic trading,56.0,M
1498,Alexander Dzhaparidze,1.6,Russia,Energy,oil services,62.0,M
1499,Stephen Feinberg,1.6,,Finance and Investments,private equity,58.0,M
1500,Paul Foster,1.6,United States,Energy,oil refining,60.0,M
1501,Mario Gabelli,1.6,,Finance and Investments,money management,76.0,M
1502,Marcos Galperin,1.6,Argentina,Technology,e-commerce,,M
1503,Radhe Shyam Goenka,1.6,India,Fashion & Retail,consumer goods,72.0,M
1504,Christopher Goldsbury,1.6,,Food and Beverage,salsa,75.0,M
1505,Stelios Haji-Ioannou,1.6,Cyprus,Service,EasyJet,51.0,M
1506,Ilkka Herlin,1.6,,Manufacturing,"elevators, escalators",59.0,M
1507,Brian Higgins,1.6,,Finance and Investments,hedge funds,53.0,M
1508,Stephen Jarislowsky,1.6,,Finance and Investments,money management,92.0,M
1509,Michael Jordan,1.6,United States,Sports,"Charlotte Hornets, endorsements",55.0,M
1510,Kenji Kasahara,1.6,,Technology,social network,42.0,M
1511,Kim Taek-Jin,1.6,South Korea,Gambling & Casinos,online games,51.0,M
1512,Edward Lampert,1.6,United States,Finance and Investments,Sears,55.0,M
1513,Thomas Lau,1.6,Hong Kong,Fashion & Retail,department stores,64.0,M
1514,Thai Lee,1.6,United States,Technology,IT provider,59.0,F
1515,Lei Jufang,1.6,,Healthcare,pharmaceuticals,65.0,F
1516,Li Li,1.6,,Healthcare,pharmaceuticals,54.0,M
1517,Li Liufa,1.6,China,Diversified,"steel, diversified",61.0,
1518,Liu Hanyuan,1.6,China,Food and Beverage,agribusiness,54.0,M
1519,Pier Luigi Loro Piana,1.6,Italy,Fashion & Retail,fashion,66.0,M
1520,Billy Joe (Red) Mccombs,1.6,,Diversified,"real estate, oil, cars, sports",90.0,M
1521,Gian Marco Moratti,1.6,,Energy,oil refinery,81.0,M
1522,Manuel Moroun,1.6,,Logistics,transportation,91.0,M
1523,Robert Mouawad,1.6,,Service,fine jewelry,73.0,M
1524,Marius Nacht,1.6,,Technology,software,52.0,M
1525,Ni Zugen,1.6,China,Manufacturing,appliances,61.0,M
1526,Lirio Parisotto,1.6,,Finance and Investments,investments,64.0,M
1527,Karl-Johan Persson,1.6,,Fashion & Retail,H&M,43.0,M
1528,Tom Persson,1.6,,Fashion & Retail,H&M,32.0,M
1529,Dmitry Pumpyansky,1.6,,Metals & Mining,steel pipes,54.0,M
1530,Ruan Shuilong,1.6,,Manufacturing,chemicals,82.0,M
1531,Jean Salata,1.6,Chile,Finance and Investments,finance,52.0,
1532,Sheryl Sandberg,1.6,,Technology,Facebook,48.0,F
1533,Niraj Shah,1.6,,Technology,online retail,44.0,M
1534,Shin Dong-Guk,1.6,South Korea,Healthcare,Pharmaceuticals,68.0,M
1535,Ben Silbermann,1.6,,Technology,Pinterest,34.0,M
1536,Charlotte Soderstrom,1.6,Sweden,Fashion & Retail,H&M,41.0,
1537,Thomas Steyer,1.6,United States,Finance and Investments,hedge funds,60.0,M
1538,Su Weizhong,1.6,,Energy,"oil, fertilizers",49.0,M
1539,David Teoh,1.6,Australia,Telecom,telecoms,62.0,
1540,Wang Jinshu,1.6,,Manufacturing,chemicals,61.0,
1541,Wang Yaohai,1.6,,Technology,lighting,51.0,M
1542,Charlotte Colket Weber,1.6,United States,Food and Beverage,Campbell Soup,75.0,F
1543,Wei Ing-Chou,1.6,,Food and Beverage,"food, beverages",65.0,M
1544,Yin-Chun Wei,1.6,Taiwan,Food and Beverage,"food, beverages",61.0,M
1545,Wei Yin-Heng,1.6,,Food and Beverage,"food, beverages",59.0,M
1546,Wei Ying-Chiao,1.6,,Food and Beverage,"food, beverages",63.0,M
1547,Richard White,1.6,,Technology,software,63.0,M
1548,Allan Wong,1.6,Hong Kong,Manufacturing,electronics,68.0,
1549,Wong Kwong Yu,1.6,,Fashion & Retail,retail,49.0,
1550,Wu Jianshu,1.6,,Automotive,auto parts,54.0,M
1551,Wu Xu,1.6,St. Kitts and Nevis,Real Estate,real estate,54.0,
1552,Wu Xushun,1.6,,Diversified,"internet, auto parts",70.0,
1553,Luis Enrique Yarur Rey,1.6,Chile,Finance and Investments,banking,67.0,M
1554,Albert Yeung,1.6,Hong Kong,Diversified,"real estate, retail",75.0,M
1555,Yu Rong,1.6,China,Healthcare,health clinics,46.0,M
1556,Kostyantin Zhevago,1.6,Ukraine,Metals & Mining,mining,44.0,M
1557,Zhou Chengjian,1.6,China,Fashion & Retail,fashion retail,53.0,M
1558,Zhou Yaoting,1.6,,Diversified,"apparel, real estate",75.0,
1559,Zhuang Kuilong,1.6,,Manufacturing,polyester,56.0,M
1560,Jose Joao Abdalla Filho,1.5,Brazil,Finance and Investments,investments,,M
1561,Khalifa Bin Butti Al Muhairi,1.5,,Diversified,"hospitals, investments",39.0,M
1562,Folorunsho Alakija,1.5,Nigeria,Energy,oil,67.0,F
1563,Bill Alfond,1.5,,Fashion & Retail,shoes,70.0,M
1564,Susan Alfond,1.5,United States,Fashion & Retail,shoes,72.0,F
1565,Ted Alfond,1.5,,Fashion & Retail,shoes,73.0,
1566,Joy Alukkas,1.5,,Fashion & Retail,jewelry,61.0,M
1567,Andrey Andreev,1.5,,Technology,online dating,44.0,M
1568,Carol Jenkins Barnett,1.5,,Food and Beverage,Publix supermarkets,61.0,F
1569,Oleg Boyko,1.5,,Diversified,diversified,53.0,M
1570,Ana Maria Brescia Cafferata,1.5,,Diversified,"mining, banking",94.0,F
1571,Binod Chaudhary,1.5,Nepal,Diversified,diversified,63.0,M
1572,Che Fengsheng,1.5,China,Healthcare,pharmaceuticals,55.0,M
1573,Chen Qingzhou,1.5,,Telecom,communications equipment,52.0,M
1574,Richard Desmond,1.5,,Media & Entertainment,publishing,66.0,
1575,Mohammed Dewji,1.5,,Diversified,diversified,43.0,M
1576,Carl Douglas,1.5,Sweden,Diversified,investments,57.0,M
1577,Eric Douglas,1.5,,Diversified,investments,50.0,M
1578,Bulent Eczacibasi,1.5,,Diversified,"pharmaceuticals, diversified",68.0,M
1579,Faruk Eczacibasi,1.5,,Diversified,"pharmaceuticals, diversified",64.0,M
1580,Martha Ford,1.5,United States,Automotive,Ford Motor,92.0,
1581,Yasuhiro Fukushima,1.5,,Media & Entertainment,video games,70.0,M
1582,Reinold Geiger,1.5,Austria,Fashion & Retail,beauty products,70.0,M
1583,Saad Hariri,1.5,,Construction & Engineering,"construction, investments",48.0,
1584,Richard Hayne,1.5,United States,Fashion & Retail,Urban Outfitters,70.0,M
1585,Ilona Herlin,1.5,,Manufacturing,"elevators, escalators",53.0,
1586,Asok Kumar Hiranandani,1.5,,Real Estate,real estate,63.0,M
1587,Niranjan Hiranandani,1.5,India,Real Estate,real estate,68.0,M
1588,Huang Qiaoling,1.5,,Media & Entertainment,amusement parks,59.0,M
1589,Huang Zhuangmian,1.5,China,Logistics,logistics,48.0,
1590,Hal Jackman,1.5,,Finance and Investments,"insurance, investments",86.0,M
1591,Anurang Jain,1.5,,Manufacturing,auto parts,56.0,M
1592,Keeree Kanjanapas,1.5,,Real Estate,transportation,67.0,
1593,Kim Nam-Jung,1.5,South Korea,Food and Beverage,food,45.0,M
1594,Seth Klarman,1.5,,Finance and Investments,investments,61.0,M
1595,Alexander Klyachin,1.5,,Real Estate,real estate,51.0,M
1596,Yuriy Kosiuk,1.5,,Food and Beverage,agriculture,50.0,M
1597,Miguel Krigsner,1.5,,Fashion & Retail,cosmetics,68.0,M
1598,Lee Yin Yee,1.5,China,Manufacturing,glass,66.0,M
1599,Nicola Leibinger-Kammueller,1.5,Germany,Manufacturing,manufacturing,58.0,F
1600,Li Weiwei,1.5,,Technology,online games,41.0,M
1601,William Li,1.5,,Automotive,automobiles,43.0,M
1602,Li Yihai,1.5,,Healthcare,pharmaceuticals,55.0,M
1603,Li Yong,1.5,,Manufacturing,chemicals,41.0,M
1604,Lin Ming-Hsiung,1.5,,Fashion & Retail,supermarkets,68.0,M
1605,Lou Zhongfu,1.5,,Real Estate,real estate,64.0,M
1606,Low Tuck Kwong,1.5,,Energy,coal,70.0,M
1607,P.N.C. Menon,1.5,,Real Estate,real estate,69.0,
1608,Thomas Meyer,1.5,,Fashion & Retail,apparel retailer,58.0,M
1609,Ezra Nahmad,1.5,,Finance and Investments,art,72.0,
1610,Judith Neilson,1.5,,Finance and Investments,investments,72.0,F
1611,Madeleine Olsson Ericksson,1.5,,Diversified,diversified,73.0,
1612,Ou Zonghong,1.5,,Real Estate,real estate,48.0,M
1613,Eren Ozmen,1.5,United States,Manufacturing,aerospace,59.0,F
1614,Fatih Ozmen,1.5,United States,Manufacturing,aerospace,60.0,
1615,Jose Isaac Peres,1.5,,Real Estate,shopping malls,77.0,M
1616,Mark Pincus,1.5,United States,Technology,online games,52.0,
1617,Kevin Plank,1.5,,Fashion & Retail,Under Armour,45.0,M
1618,"Nicholas Pritzker, Ii.",1.5,,Service,"hotels, investments",74.0,M
1619,Que Wenbin,1.5,China,Healthcare,pharmaceuticals,54.0,M
1620,Jorge Rodriguez Rodriguez,1.5,Peru,Diversified,processed milk,72.0,M
1621,Nobutada Saji,1.5,,Food and Beverage,beverages,72.0,
1622,Thomas Sandell,1.5,,Finance and Investments,hedge funds,57.0,M
